go_names	lower	type	GO	go_id
ACTIVATION_OF_IMMUNE_RESPONSE	activation_of_immune_response	immune_response	364	GO:0002253
B_CELL_ACTIVATION	b_cell_activation	b_cell_activation	373	GO:0042113
CYTOKINE_AND_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY	cytokine_and_chemokine_mediated_signaling_pathway	cytokine_and_chemokine_mediated_signaling_pathway	625	GO:0019221
CYTOKINE_PRODUCTION	cytokine_production	cytokine_biosynthetic and secretion	280	GO:0001816
CYTOKINE_SECRETION	cytokine_secretion	cytokine_biosynthetic and secretion	742	GO:0050663
HEMOPOIESIS	hemopoiesis	immune_system_development and hemopoiesis	150	GO:0030097
HEMOPOIETIC_OR_LYMPHOID_ORGAN_DEVELOPMENT	hemopoietic_or_lymphoid_organ_development	immune_system_development and hemopoiesis	403	GO:0048534
IMMUNE_RESPONSE	immune_response	immune_response	402	GO:0006955
IMMUNE_SYSTEM_DEVELOPMENT	immune_system_development	immune_system_development and hemopoiesis	161	GO:0002520
IMMUNE_SYSTEM_PROCESS	immune_system_process	immune_system_process	574	GO:0002376
INFLAMMATORY_RESPONSE	inflammatory_response	inflammatory_response	360	GO:0006954
INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS	interferon_gamma_biosynthetic_process	interferon_gamma biosynthetic	733	GO:0042095
INTERFERON_GAMMA_PRODUCTION	interferon_gamma_production	interferon_gamma biosynthetic	746	GO:0032609
INTERLEUKIN_1_SECRETION	interleukin_1_secretion	interleukin_biosynthetic	346	GO:0050701
INTERLEUKIN_8_BIOSYNTHETIC_PROCESS	interleukin_8_biosynthetic_process	interleukin_biosynthetic	225	GO:0042228
INTERLEUKIN_8_PRODUCTION	interleukin_8_production	interleukin_biosynthetic	375	GO:0032637
LEUKOCYTE_ACTIVATION	leukocyte_activation	leukocyte_activation	345	GO:0045321
LEUKOCYTE_DIFFERENTIATION	leukocyte_differentiation	differentiation	299	GO:0002521
LYMPHOCYTE_ACTIVATION	lymphocyte_activation	lymphocyte_activation	693	GO:0046649
LYMPHOCYTE_DIFFERENTIATION	lymphocyte_differentiation	differentiation	124	GO:0030098
NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	negative_regulation_of_immune_system_process	immune_system_process	177	GO:0002683
POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS	positive_regulation_of_cytokine_biosynthetic_process	cytokine_biosynthetic and secretion	186	GO:0042108
POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	positive_regulation_of_immune_response	immune_response	243	GO:0050778
POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	positive_regulation_of_immune_system_process	immune_system_process	102	GO:0002684
POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION	positive_regulation_of_lymphocyte_activation	lymphocyte_activation	514	GO:0051251
POSITIVE_REGULATION_OF_T_CELL_ACTIVATION	positive_regulation_of_t_cell_activation	t_cell_activation	481	GO:0050870
POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION	positive_regulation_of_t_cell_proliferation	t_cell_proliferation	328	GO:0042102
REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS	regulation_of_cytokine_biosynthetic_process	cytokine_biosynthetic and secretion	751	GO:0042035
REGULATION_OF_IMMUNE_RESPONSE	regulation_of_immune_response	immune_response	780	GO:0050776
REGULATION_OF_IMMUNE_SYSTEM_PROCESS	regulation_of_immune_system_process	immune_system_process	750	GO:0002682
REGULATION_OF_INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS	regulation_of_interferon_gamma_biosynthetic_process	interferon_gamma biosynthetic	208	GO:0045072
REGULATION_OF_LYMPHOCYTE_ACTIVATION	regulation_of_lymphocyte_activation	lymphocyte_activation	649	GO:0051249
REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	regulation_of_myeloid_cell_differentiation	differentiation	336	GO:0045637
REGULATION_OF_T_CELL_ACTIVATION	regulation_of_t_cell_activation	t_cell_activation	267	GO:0050863
REGULATION_OF_T_CELL_PROLIFERATION	regulation_of_t_cell_proliferation	t_cell_proliferation	577	GO:0042129
T_CELL_ACTIVATION	t_cell_activation	t_cell_activation	582	GO:0042110
T_CELL_DIFFERENTIATION	t_cell_differentiation	differentiation	258	GO:0030217
T_CELL_PROLIFERATION	t_cell_proliferation	t_cell_proliferation	97	GO:0042098
